Code,Year,population
HU,1995,10336700
HU,1996,10321229
HU,1997,10301247
HU,1998,10279724
HU,1999,10253416
HU,2000,10221644
HU,2001,10200298
HU,2002,10174853
HU,2003,10142362
HU,2004,10116742
HU,2005,10097549
HU,2006,10076581
HU,2007,10066158
HU,2008,10045401
HU,2009,10030975
HU,2010,10014324
HU,2011,9985722
HU,2012,9931925
HU,2013,9908798
HU,2014,9877365
HU,2015,9855571
HU,2016,9830485
HU,2017,9797561
HU,2018,9778371
HU,2019,9772756
HU,2020,9769526
HU,2021,9730772
HU,2022,9689010
HU,2023,9599744
IE,1977,3260900
IE,1978,3303500
IE,1979,3354700
IE,1980,3392800
IE,1981,3432800
IE,1982,3473200
IE,1983,3498400
IE,1984,3522800
IE,1985,3542046
IE,1986,3534117
IE,1987,3545263
IE,1988,3534850
IE,1989,3515048
IE,1990,3506970
IE,1991,3520977
IE,1992,3547492
IE,1993,3569367
IE,1994,3583154
IE,1995,3597617
IE,1996,3620065
IE,1997,3654955
IE,1998,3693386
IE,1999,3732006
IE,2000,3777565
IE,2001,3832783
IE,2002,3899702
IE,2003,3964191
IE,2004,4028851
IE,2005,4111672
IE,2006,4208156
IE,2007,4340118
IE,2008,4457765
IE,2009,4521322
IE,2010,4549428
IE,2011,4570881
IE,2012,4589287
IE,2013,4609779
IE,2014,4637852
IE,2015,4677627
IE,2016,4726286
IE,2017,4784383
IE,2018,4830392
IE,2019,4904240
IE,2020,4964440
IE,2021,5006324
IE,2022,5060004
IE,2023,5271395
IS,1977,221046
IS,1978,222552
IS,1979,224522
IS,1980,226948
IS,1981,229327
IS,1982,232182
IS,1983,235537
IS,1984,238416
IS,1985,240606
IS,1986,242203
IS,1987,244157
IS,1988,247561
IS,1989,251919
IS,1990,253785
IS,1991,255866
IS,1992,259727
IS,1993,262386
IS,1994,265064
IS,1995,266978
IS,1996,267958
IS,1997,269874
IS,1998,272381
IS,1999,275712
IS,2000,279049
IS,2001,283361
IS,2002,286575
IS,2003,288471
IS,2004,290570
IS,2005,293577
IS,2006,299891
IS,2007,307672
IS,2008,315459
IS,2009,319368
IS,2010,317630
IS,2011,318452
IS,2012,319575
IS,2013,321857
IS,2014,325671
IS,2015,329100
IS,2016,332529
IS,2017,338349
IS,2018,348450
IS,2019,356991
IS,2020,364134
IS,2021,368792
IS,2022,376248
IS,2023,387758
IT,1977,55847553
IT,1978,56063269
IT,1979,56247017
IT,1980,56388480
IT,1981,56479285
IT,1982,56524064
IT,1983,56563031
IT,1984,56565117
IT,1985,56588319
IT,1986,56597823
IT,1987,56594487
IT,1988,56609375
IT,1989,56649201
IT,1990,56694360
IT,1991,56744119
IT,1992,56772923
IT,1993,56821250
IT,1994,56842392
IT,1995,56844408
IT,1996,56844197
IT,1997,56876364
IT,1998,56904379
IT,1999,56909109
IT,2000,56923524
IT,2001,56960692
IT,2002,56987507
IT,2003,57130506
IT,2004,57495900
IT,2005,57874753
IT,2006,58064214
IT,2007,58223744
IT,2008,58652875
IT,2009,59000586
IT,2010,59190143
IT,2011,59364690
IT,2012,59394207
IT,2013,59685227
IT,2014,60782668
IT,2015,60795612
IT,2016,60665551
IT,2017,60589445
IT,2018,60483973
IT,2019,59816673
IT,2020,59641488
IT,2021,59236213
IT,2022,59030133
IT,2023,58997201
LI,1977,24169
LI,1978,24715
LI,1979,25340
LI,1980,25809
LI,1981,25215
LI,1982,26130
LI,1983,26380
LI,1984,26512
LI,1985,26680
LI,1986,27076
LI,1987,27399
LI,1988,27714
LI,1989,28181
LI,1990,28452
LI,1991,29032
LI,1992,29386
LI,1993,29868
LI,1994,30310
LI,1995,30629
LI,1996,30923
LI,1997,31143
LI,1998,31320
LI,1999,32015
LI,2000,32426
LI,2001,32863
LI,2002,33525
LI,2003,33863
LI,2004,34294
LI,2005,34600
LI,2006,34905
LI,2007,35168
LI,2008,35356
LI,2009,35589
LI,2010,35894
LI,2011,36149
LI,2012,36475
LI,2013,36838
LI,2014,37129
LI,2015,37366
LI,2016,37622
LI,2017,37810
LI,2018,38114
LI,2019,38378
LI,2020,38747
LI,2021,39055
LI,2022,39308
LI,2023,39677
LT,1977,3342533
LT,1978,3367538
LT,1979,3391490
LT,1980,3404194
LT,1981,3422210
LT,1982,3443684
LT,1983,3470673
LT,1984,3499711
LT,1985,3528698
LT,1986,3560388
